"condition","Cell index","KT pairs","KT","Time","move X","move Y","move Z","move interval","WidthX Ch1 (normalized)","tail or not ch1","tail direction ch1","WidthX Ch2 (normalized)","tail or not ch2","tail direction ch2","location X","location Y","location Z","frame"
""
""
1,2,3,1,1,-0.44821493820244207,0.20567129121893224,-0.059851892159750175,1,1.0001593305312735,"False","",0.9860081896701266,"False","",-0.8307895470210109,0.11619861273931242,0.5447240551795667,1
1,2,3,1,2,-0.3135781500201489,0.23056298103022854,-0.05707004247905223,1,1.0207103854660937,"False","",1.0906742103526004,"False","",-1.279004485223453,0.32186990395824466,0.4848721630198165,2
1,2,3,1,3,-0.34021696687004876,0.10926072137337961,-0.01632136272568263,1,1.075866094430082,"False","",1.1290272473169276,"False","",-1.5925826352436019,0.5524328849884732,0.4278021205407643,3
1,2,3,1,4,0.055756145981780136,-0.00498799040330411,-0.20422879998037935,1,1.1103511553594116,"False","",1.0606663805270944,"False","",-1.9327996021136506,0.6616936063618528,0.41148075781508164,4
1,2,3,1,5,0.6597605920758554,-0.20701027322216525,-0.09896652890051993,1,1.0343170989791197,"False","",0.9818618583251914,"False","",-1.8770434561318705,0.6567056159585487,0.2072519578347023,5
1,2,3,1,6,0.5220681541905918,-0.36402400341775376,-0.13459475159597445,1,0.803432758008307,"False","",0.8941912626814662,"False","",-1.2172828640560152,0.44969534273638345,0.10828542893418236,6
1,2,3,1,7,0.332248364684796,-0.2471121740261335,-0.1504772952248843,1,0.8724535285425163,"False","",0.891616233180984,"False","",-0.6952147098654233,0.08567133931862969,-0.02630932266179209,7
1,2,3,1,8,0.15152790233129032,-0.03798719707926779,-0.08175245454516034,1,0.8728475727111502,"False","",0.9241955236911978,"False","",-0.3629663451806273,-0.1614408347075038,-0.17678661788667638,8
1,2,3,1,9,0.30643982279374704,0.07553633404946503,0.09842047707144519,1,0.7903553878023198,"False","",0.8198638983016096,"False","",-0.211438442849337,-0.1994280317867716,-0.2585390724318367,9
1,2,3,1,10,0.2106508192713754,0.017213848658142794,0.02702151866654401,1,0.8732405126870104,"False","",0.8483451824713953,"False","",0.09500137994441005,-0.12389169773730657,-0.16011859536039152,10
1,2,3,1,11,0.1273756763274605,-0.05062960818156448,0.04279088445569723,1,0.8560358923264834,"False","",0.8603218438349773,"False","",0.30565219921578546,-0.10667784907916378,-0.13309707669384752,11
1,2,3,1,12,0.08390666893598997,-0.0237752604408481,-0.1424315847050811,1,0.9252380464759742,"False","",0.9092931789813675,"False","",0.43302787554324595,-0.15730745726072826,-0.09030619223815028,12
1,2,3,1,13,0.32788907378622945,-0.0038707449195474197,-0.004856716057976773,1,0.8747715518340187,"False","",0.9638396307678323,"False","",0.5169345444792359,-0.18108271770157636,-0.2327377769432314,13
1,2,3,1,14,0.19135019141412535,0.0790086638343741,0.03327228344105704,1,0.8408125037705121,"False","",0.9304487647450431,"False","",0.8448236182654654,-0.18495346262112378,-0.23759449300120816,14
1,2,3,1,15,0.29838404629481374,-0.13250240512039113,0.025890828213866124,1,1.0327505905821668,"False","",0.9794178356507577,"False","",1.0361738096795907,-0.10594479878674967,-0.20432220956015112,15
