condition,Cell index,KT pairs,KT,path,ch1meanxch2meanxch1meanych2meanych1SDx,,,,,ch2SDx,ch1SDy,ch2SDy,ch1tail,ch2tail,ch1maxtail,ch2maxtailch1lefttailcount,ch1lefttailcount,ch1righttailcount,ch2lefttailcount,ch2righttailcount,sdxymovementdata,sistersdxymovementdata,meanspeeddata,meanspeedsisterdata,sdspeeddata,sdspeedsisterdata,sdkkdistance,meankkdistance
1,1,1,1,"D:\combine0802\control\d1c1control0707 done\ch1\15.-28\Path from Track_15 to Track_15.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\15.-28_(+-1)_NewResult_0908XYnew.csv",0.214991688,0.204732911,0.244888522,0.216237165,0.028250116,0.02758118,0.019834069,0.018261429,FALSE,FALSE,0,0,0,0,0,0,0.6990232,0.637401177,0.242410394,0.228949283,0.108306321,0.135063125,0.532373879,2.329782569
1,1,1,2,"D:\combine0802\control\d1c1control0707 done\ch1\15.-28\Path from Track_28 to Track_28.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\15.-28_(+-1)_NewResult_0908XYnew.csv",0.219670436,0.19159548,0.259685616,0.206662886,0.0233791,0.014576703,0.023354715,0.012403096,TRUE,FALSE,0.296279824,0,0,3,0,0,0.637401177,0.6990232,0.228949283,0.242410394,0.135063125,0.108306321,0.532373879,2.329782569
1,1,2,1,"D:\combine0802\control\d1c1control0707 done\ch1\16.-13\Path from Track_13 to Track_13.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\16.-13_(+-1)_NewResult_0908XYnew.csv",0.197827511,0.18611477,0.256903565,0.196769873,0.0180813,0.01577442,0.017775142,0.009917684,FALSE,TRUE,0,-0.078105733,0,0,1,0,0.899403418,0.878826063,0.259270098,0.252929742,0.143659209,0.140390489,0.402806126,2.274992964
1,1,2,2,"D:\combine0802\control\d1c1control0707 done\ch1\16.-13\Path from Track_16 to Track_16.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\16.-13_(+-1)_NewResult_0908XYnew.csv",0.19778641,0.191113351,0.227074383,0.17970036,0.015489209,0.012900245,0.014482772,0.008186753,FALSE,FALSE,0,0,0,0,0,0,0.878826063,0.899403418,0.252929742,0.259270098,0.140390489,0.143659209,0.402806126,2.274992964
1,1,3,1,"D:\combine0802\control\d1c1control0707 done\ch1\18.-10\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\18.-10_(+-1)_NewResult_0908XYnew.csv",0.1997479,0.187360643,0.218840265,0.190762149,0.014752164,0.009754535,0.014350863,0.008623253,TRUE,FALSE,0.189479256,0,0,1,0,0,0.914963918,0.910185007,0.255618545,0.237763902,0.122319719,0.117702682,0.287125281,1.965993942
1,1,4,1,"D:\combine0802\control\d1c1control0707 done\ch1\3.-1\Path from Track_1 to Track_1.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\3.-1_(+-1)_NewResult_0908XYnew.csv",0.314985384,0.322105013,0.239865303,0.225533768,0.05414647,0.049108495,0.027099412,0.026739337,TRUE,TRUE,0.421016502,0.493321046,12,12,15,18,0.367693213,0.598555512,0.122552187,0.1539747,0.076946856,0.089374819,0.200631515,2.890042156
1,1,4,2,"D:\combine0802\control\d1c1control0707 done\ch1\3.-1\Path from Track_3 to Track_3.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\3.-1_(+-1)_NewResult_0908XYnew.csv",0.192834236,0.186329736,0.241770396,0.207230661,0.011136898,0.012293386,0.01819739,0.013951616,FALSE,FALSE,0,0,0,0,0,0,0.598555512,0.367693213,0.1539747,0.122552187,0.089374819,0.076946856,0.200631515,2.890042156
1,1,5,1,"D:\combine0802\control\d1c1control0707 done\ch1\5.-7\Path from Track_5 to Track_5.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\5.-7_(+-1)_NewResult_0908XYnew.csv",0.245161795,0.219953104,0.228410681,0.186430496,0.041196695,0.02605045,0.034172169,0.01302694,TRUE,TRUE,0.430973843,0.48077062,8,8,1,2,0.760118674,0.702069298,0.128956994,0.144198507,0.071546896,0.076456063,0.274982844,3.059626165
1,1,5,2,"D:\combine0802\control\d1c1control0707 done\ch1\5.-7\Path from Track_7 to Track_7.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\5.-7_(+-1)_NewResult_0908XYnew.csv",0.286076123,0.236689066,0.246083092,0.206756205,0.061530248,0.031884807,0.029795814,0.014926318,TRUE,TRUE,0.490139229,0.487640369,9,21,1,10,0.702069298,0.760118674,0.144198507,0.128956994,0.076456063,0.071546896,0.274982844,3.059626165
1,2,1,1,"D:\combine0802\control\dic1(0714\ch1\13.-20\Path from Track_13 to Track_13.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\13.-20_(+-1)_NewResult_0908XYnew.csv",0.198469838,0.187338625,0.260484901,0.231978564,0.017991054,0.017520485,0.01824253,0.016544654,FALSE,FALSE,0,0,0,0,0,0,1.671152241,1.885456236,0.243509262,0.278843754,0.138912758,0.13738317,0.479812819,2.261626531
