condition,Cell index,KT pairs,KT,path,ch1meanxch2meanxch1meanych2meanych1SDx,,,,,ch2SDx,ch1SDy,ch2SDy,ch1tail,ch2tail,ch1maxtail,ch2maxtailch1lefttailcount,ch1lefttailcount,ch1righttailcount,ch2lefttailcount,ch2righttailcount,sdxymovementdata,sistersdxymovementdata,meanspeeddata,meanspeedsisterdata,sdspeeddata,sdspeedsisterdata,sdkkdistance,meankkdistance
2,1,1,1,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",0.209629549,0.207699354,0.209537388,0.200209193,0.022319053,0.015807351,0.01705351,0.014634318,FALSE,FALSE,0,0,0,0,0,0,2.398536421,2.572905989,0.199851991,0.232044198,0.119891735,0.124221994,0.307302716,1.98885509
2,1,1,2,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_11 to Track_11.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",0.228734806,0.236449656,0.218137946,0.215092994,0.033127942,0.030343777,0.028277767,0.027350979,TRUE,TRUE,-0.259371258,0.206765676,1,1,0,1,2.572905989,2.398536421,0.232044198,0.199851991,0.124221994,0.119891735,0.307302716,1.98885509
2,1,2,1,"D:\combine0802\tsa\d3c1\ch1\1.-13\Path from Track_13 to Track_13.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\1.-13_(+-1)_NewResult_0908XYnew.csv",0.201257699,0.211634524,0.218251154,0.201731394,0.018778006,0.018365685,0.010716057,0.011472413,TRUE,FALSE,-0.321676161,0,1,0,0,0,2.557598301,2.340282975,0.213539136,0.189007028,0.122779615,0.104239506,0.433368233,2.293732721
2,1,2,2,"D:\combine0802\tsa\d3c1\ch1\1.-13\Path from Track_1 to Track_1.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\1.-13_(+-1)_NewResult_0908XYnew.csv",0.207216011,0.21579933,0.225199991,0.218989537,0.024232844,0.022774582,0.032619543,0.031870404,TRUE,TRUE,0.207017245,0.257785804,0,1,0,2,2.340282975,2.557598301,0.189007028,0.213539136,0.104239506,0.122779615,0.433368233,2.293732721
2,1,4,1,"D:\combine0802\tsa\d3c1\ch1\7.-3\Path from Track_3 to Track_3.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\7.-3_(+-1)_NewResult_0908XYnew.csv",0.19699818,0.205460242,0.233041696,0.218697899,0.012351298,0.013861798,0.013541892,0.013489601,TRUE,FALSE,-0.347499589,0,1,0,0,0,2.902941267,2.683892574,0.212628341,0.193578158,0.120535065,0.08084945,0.290640714,2.196359376
2,1,4,2,"D:\combine0802\tsa\d3c1\ch1\7.-3\Path from Track_7 to Track_7.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\7.-3_(+-1)_NewResult_0908XYnew.csv",0.227666608,0.226524251,0.195894898,0.192121087,0.019883059,0.02039372,0.014642494,0.020614976,FALSE,FALSE,0,0,0,0,0,0,2.683892574,2.902941267,0.193578158,0.212628341,0.08084945,0.120535065,0.290640714,2.196359376
2,1,5,1,"D:\combine0802\tsa\d3c1\ch1\8.-12\Path from Track_12 to Track_12.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\8.-12_(+-1)_NewResult_0908XYnew.csv",0.250528173,0.252085353,0.192224021,0.190376265,0.028634518,0.031368723,0.011399057,0.01301217,FALSE,TRUE,0,0.275601251,0,0,0,5,2.183627062,1.996724916,0.225922351,0.237233174,0.135200617,0.146818707,0.420722147,3.435254632
2,1,5,2,"D:\combine0802\tsa\d3c1\ch1\8.-12\Path from Track_8 to Track_8.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\8.-12_(+-1)_NewResult_0908XYnew.csv",0.220457681,0.222644445,0.256491124,0.242691439,0.021727375,0.017308235,0.029800228,0.032124056,FALSE,FALSE,0,0,0,0,0,0,1.996724916,2.183627062,0.237233174,0.225922351,0.146818707,0.135200617,0.420722147,3.435254632
2,2,1,1,"D:\combine0802\tsa\d3c2\ch1\1.-11\Path from Track_11 to Track_11.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\1.-11_(+-1)_NewResult_0908XYnew.csv",0.218874138,0.204559836,0.248307733,0.24511366,0.024278473,0.027136995,0.023229004,0.024031474,TRUE,TRUE,-0.264218782,-0.206849138,3,1,1,0,1.876707021,1.810881409,0.196966054,0.188539775,0.133998818,0.109478441,0.340456198,2.065286184
2,2,1,2,"D:\combine0802\tsa\d3c2\ch1\1.-11\Path from Track_1 to Track_1.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\1.-11_(+-1)_NewResult_0908XYnew.csv",0.192433754,0.183958631,0.222262595,0.212062025,0.018283751,0.018088485,0.011476365,0.012787454,TRUE,FALSE,-0.332158674,0,3,0,0,0,1.810881409,1.876707021,0.188539775,0.196966054,0.109478441,0.133998818,0.340456198,2.065286184
2,2,2,1,"D:\combine0802\tsa\d3c2\ch1\12.-5\Path from Track_12 to Track_12.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\12.-5_(+-1)_NewResult_0908XYnew.csv",0.204490479,0.196732017,0.244090979,0.232406221,0.029061134,0.027797971,0.017137695,0.022344461,TRUE,TRUE,0.310231641,0.284719811,0,2,0,3,1.091753897,1.172724199,0.321575408,0.161111848,0.169586649,0.091800882,0.685304606,2.269245584
2,2,3,1,"D:\combine0802\tsa\d3c2\ch1\15.-6\Path from Track_15 to Track_15.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\15.-6_(+-1)_NewResult_0908XYnew.csv",0.196113491,0.187570438,0.244825686,0.242187882,0.026490079,0.02938763,0.021412557,0.022136642,FALSE,FALSE,0,0,0,0,0,0,1.885396892,2.220055953,0.292220119,0.319095521,0.169286553,0.175049536,0.587438412,1.952570984
2,2,3,2,"D:\combine0802\tsa\d3c2\ch1\15.-6\Path from Track_6 to Track_6.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\15.-6_(+-1)_NewResult_0908XYnew.csv",0.188818225,0.174142538,0.222466421,0.209250959,0.024762849,0.020287946,0.019850732,0.015425004,FALSE,TRUE,0,0.290467576,0,0,0,1,2.220055953,1.885396892,0.319095521,0.292220119,0.175049536,0.169286553,0.587438412,1.952570984
2,2,4,1,"D:\combine0802\tsa\d3c2\ch1\7.-3\Path from Track_3 to Track_3.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\7.-3_(+-1)_NewResult_0908XYnew.csv",0.192272923,0.193031271,0.225819259,0.22078886,0.021678432,0.031135172,0.01816112,0.02125613,FALSE,TRUE,0,0.255270936,0,0,1,1,1.600012073,1.353677903,0.287656068,0.225835882,0.147218842,0.15949733,0.558060493,2.987666605
2,2,4,2,"D:\combine0802\tsa\d3c2\ch1\7.-3\Path from Track_7 to Track_7.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\7.-3_(+-1)_NewResult_0908XYnew.csv",0.193672857,0.182765754,0.266218395,0.250346089,0.016049331,0.018483801,0.018649274,0.025323037,TRUE,FALSE,0.364973163,0,0,1,0,0,1.353677903,1.600012073,0.225835882,0.287656068,0.15949733,0.147218842,0.558060493,2.987666605
2,3,1,1,"D:\combine0802\tsa\new\ch1\10.-2\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-2_(+-1)_NewResult_0908XYnew.csv",0.213065721,0.2139106,0.236172012,0.213185158,0.015785445,0.019371201,0.014292577,0.013089435,FALSE,TRUE,0,0.221938669,0,0,0,1,0.490102804,0.359102892,0.15422522,0.170407987,0.077667547,0.086389689,0.192478767,2.399916112
