condition: 1 = control 2 = TSA,Cell index,Channel,KT pairs,KT,Time,,index,KT detect,widthX,widthY,raw tiltangle,elongationratio,semiaxesratio,tail,direction of tail,length of tail,,KK dist,path,,condition: 2 = TSA,Cell index,Channel,KT pairs,KT,Time,,index,KT detect,widthX,widthY,raw tiltangle,elongationratio,semiaxesratio,tail,direction of tail,length of tail,,KK dist,path
2,1,1,1,1,2,/,1,TRUE,0.187758278,0.218516376,-1.757941738,0.240617441,0.759382559,FALSE,,"0.046*""""",//,1.656000033,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,2,/,1,TRUE,0.185612086,0.200843232,-2.071761095,0.168901439,0.831098561,FALSE,,"0.046*""""",//,1.656000033,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
2,1,1,1,1,3,/,2,TRUE,0.17698474,0.231112875,-1.726120965,0.231465932,0.768534068,FALSE,,"0.046*""""",//,2.026089871,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,3,/,2,TRUE,0.17572676,0.190663082,-1.296603185,0.107453312,0.892546688,FALSE,,"0.046*""""",//,2.026089871,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
2,1,1,1,1,4,/,3,TRUE,0.179015623,0.210731972,-1.798103032,0.267782429,0.732217571,FALSE,,"0.046*""""",//,2.301839311,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,4,/,3,TRUE,0.188687378,0.183680374,-2.395586471,0.054336105,0.945663895,FALSE,,"0.046*""""",//,2.301839311,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
2,1,1,1,1,5,/,4,TRUE,0.17733477,0.21400607,-1.767056322,0.149619325,0.850380675,FALSE,,"0.046*""""",//,2.399066533,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,5,/,4,TRUE,0.192324167,0.187882249,3.117201929,0.129336046,0.870663954,FALSE,,"0.046*""""",//,2.399066533,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
2,1,1,1,1,6,/,5,TRUE,0.176670694,0.20595065,-1.432435362,0.180615282,0.819384718,FALSE,,"0.046*""""",//,2.392000048,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,6,/,5,TRUE,0.179924873,0.204175545,-1.767314159,0.16611198,0.83388802,FALSE,,"0.046*""""",//,2.392000048,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
2,1,1,1,1,7,/,6,TRUE,0.189134314,0.215838651,-1.145155301,0.169711088,0.830288912,FALSE,,"0.046*""""",//,2.117999098,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,7,/,6,TRUE,0.199882689,0.208472462,-1.025987085,0.041411805,0.958588195,FALSE,,"0.046*""""",//,2.117999098,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
2,1,1,1,1,8,/,7,TRUE,0.192485856,0.219213645,2.513829648,0.210066041,0.789933959,FALSE,,"0.046*""""",//,1.757657567,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,8,/,7,TRUE,0.21586041,0.187622373,2.895910067,0.176380854,0.823619146,FALSE,,"0.046*""""",//,1.757657567,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
2,1,1,1,1,9,/,8,TRUE,0.179478281,0.205272675,-1.589954781,0.181800782,0.818199218,FALSE,,"0.046*""""",//,1.842298601,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,9,/,8,TRUE,0.181957052,0.221195395,-1.500664051,0.107588373,0.892411627,FALSE,,"0.046*""""",//,1.842298601,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
2,1,1,1,1,10,/,9,TRUE,0.187095836,0.217207909,-2.351283057,0.062631567,0.937368433,FALSE,,"0.046*""""",//,1.951614755,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,10,/,9,TRUE,0.188517246,0.203817722,-1.463664483,0.072411886,0.927588114,FALSE,,"0.046*""""",//,1.951614755,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
2,1,1,1,1,11,/,10,TRUE,0.173317887,0.213546362,-1.531028143,0.194774596,0.805225404,FALSE,,"0.046*""""",//,1.849177151,"D:\combine0802\tsa\d3c1\ch1\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv",////,2,1,2,1,1,11,/,10,TRUE,0.182046057,0.214947694,-1.941880385,0.101715191,0.898284809,FALSE,,"0.046*""""",//,1.849177151,"D:\combine0802\tsa\d3c1\ch2\10.-11\Path from Track_10 to Track_10.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 9}, Day]0908resultXYnew\newMethod\10.-11_(+-1)_NewResult_0908XYnew.csv"
