condition: 1 = control 2 = TSA,Cell index,Channel,KT pairs,KT,Time,,index,KT detect,widthX,widthY,raw tiltangle,elongationratio,semiaxesratio,tail,direction of tail,length of tail,,KK dist,path,,condition: 2 = TSA,Cell index,Channel,KT pairs,KT,Time,,index,KT detect,widthX,widthY,raw tiltangle,elongationratio,semiaxesratio,tail,direction of tail,length of tail,,KK dist,path
1,1,1,1,1,2,/,1,TRUE,0.255452197,0.282648443,-2.339170648,0.3390959,0.6609041,FALSE,,"0.046*""""",//,2.042731545,"D:\combine0802\control\d1c1control0707 done\ch1\15.-28\Path from Track_15 to Track_15.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\15.-28_(+-1)_NewResult_0908XYnew.csv",////,1,1,2,1,1,2,/,1,TRUE,0.234781374,0.268901412,-2.33008223,0.343543784,0.656456216,FALSE,,"0.046*""""",//,2.042731545,"D:\combine0802\control\d1c1control0707 done\ch2\15.-28\Path from Track_15 to Track_15.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\15.-28_(+-1)_NewResult_0908XYnew.csv"
1,1,1,1,1,3,/,2,TRUE,0.257690285,0.278638963,-2.379538085,0.395996624,0.604003376,FALSE,,"0.046*""""",//,1.666190899,"D:\combine0802\control\d1c1control0707 done\ch1\15.-28\Path from Track_15 to Track_15.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\15.-28_(+-1)_NewResult_0908XYnew.csv",////,1,1,2,1,1,3,/,2,TRUE,0.258128084,0.275258128,-2.444481053,0.416655745,0.583344255,FALSE,,"0.046*""""",//,1.666190899,"D:\combine0802\control\d1c1control0707 done\ch2\15.-28\Path from Track_15 to Track_15.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\15.-28_(+-1)_NewResult_0908XYnew.csv"
1,1,1,1,1,4,/,3,TRUE,0.243082049,0.306549047,-2.208569644,0.416267266,0.583732734,FALSE,,"0.046*""""",//,1.392212655,"D:\combine0802\control\d1c1control0707 done\ch1\15.-28\Path from Track_15 to Track_15.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\15.-28_(+-1)_NewResult_0908XYnew.csv",////,1,1,2,1,1,4,/,3,TRUE,0.258170284,0.252889203,-2.363507984,0.434208008,0.565791992,FALSE,,"0.046*""""",//,1.392212655,"D:\combine0802\control\d1c1control0707 done\ch2\15.-28\Path from Track_15 to Track_15.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\15.-28_(+-1)_NewResult_0908XYnew.csv"
1,1,1,1,1,5,/,4,TRUE,0.219924164,0.257123091,-2.193108552,0.262234535,0.737765465,FALSE,,"0.046*""""",//,1.483455455,"D:\combine0802\control\d1c1control0707 done\ch1\15.-28\Path from Track_15 to Track_15.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\15.-28_(+-1)_NewResult_0908XYnew.csv",////,1,1,2,1,1,5,/,4,TRUE,0.211451134,0.235308494,-2.164033326,0.327205649,0.672794351,FALSE,,"0.046*""""",//,1.483455455,"D:\combine0802\control\d1c1control0707 done\ch2\15.-28\Path from Track_15 to Track_15.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\15.-28_(+-1)_NewResult_0908XYnew.csv"
1,1,1,1,1,6,/,5,TRUE,0.189052969,0.242831202,-2.019123062,0.326361749,0.673638251,FALSE,,"0.046*""""",//,1.65855362,"D:\combine0802\control\d1c1control0707 done\ch1\15.-28\Path from Track_15 to Track_15.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\15.-28_(+-1)_NewResult_0908XYnew.csv",////,1,1,2,1,1,6,/,5,TRUE,0.2030867,0.223964213,-2.147856052,0.266703842,0.733296158,FALSE,,"0.046*""""",//,1.65855362,"D:\combine0802\control\d1c1control0707 done\ch2\15.-28\Path from Track_15 to Track_15.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\15.-28_(+-1)_NewResult_0908XYnew.csv"
1,1,1,1,1,7,/,6,TRUE,0.18363358,0.265248092,-1.803935423,0.278317636,0.721682364,FALSE,,"0.046*""""",//,2.20991588,"D:\combine0802\control\d1c1control0707 done\ch1\15.-28\Path from Track_15 to Track_15.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\15.-28_(+-1)_NewResult_0908XYnew.csv",////,1,1,2,1,1,7,/,6,TRUE,0.178961117,0.231907727,-1.91968306,0.318659134,0.681340866,FALSE,,"0.046*""""",//,2.20991588,"D:\combine0802\control\d1c1control0707 done\ch2\15.-28\Path from Track_15 to Track_15.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\15.-28_(+-1)_NewResult_0908XYnew.csv"
1,1,1,1,1,8,/,7,TRUE,0.184366132,0.268549543,-1.595726143,0.288943395,0.711056605,FALSE,,"0.046*""""",//,2.669585789,"D:\combine0802\control\d1c1control0707 done\ch1\15.-28\Path from Track_15 to Track_15.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\15.-28_(+-1)_NewResult_0908XYnew.csv",////,1,1,2,1,1,8,/,7,TRUE,0.172820711,0.203406691,-1.644275896,0.235094286,0.764905714,FALSE,,"0.046*""""",//,2.669585789,"D:\combine0802\control\d1c1control0707 done\ch2\15.-28\Path from Track_15 to Track_15.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\15.-28_(+-1)_NewResult_0908XYnew.csv"
1,1,1,1,1,9,/,8,TRUE,0.183874703,0.237088418,-1.467429831,0.321695291,0.678304709,FALSE,,"0.046*""""",//,3.128000063,"D:\combine0802\control\d1c1control0707 done\ch1\15.-28\Path from Track_15 to Track_15.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\15.-28_(+-1)_NewResult_0908XYnew.csv",////,1,1,2,1,1,9,/,8,TRUE,0.173496418,0.214070457,-1.395726082,0.274052562,0.725947438,FALSE,,"0.046*""""",//,3.128000063,"D:\combine0802\control\d1c1control0707 done\ch2\15.-28\Path from Track_15 to Track_15.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\15.-28_(+-1)_NewResult_0908XYnew.csv"
1,1,1,1,1,10,/,9,TRUE,0.193265704,0.227253508,-1.127311083,0.207005198,0.792994802,FALSE,,"0.046*""""",//,3.497210387,"D:\combine0802\control\d1c1control0707 done\ch1\15.-28\Path from Track_15 to Track_15.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\15.-28_(+-1)_NewResult_0908XYnew.csv",////,1,1,2,1,1,10,/,9,TRUE,0.174604789,0.203137328,-1.632665182,0.196355221,0.803644779,FALSE,,"0.046*""""",//,3.497210387,"D:\combine0802\control\d1c1control0707 done\ch2\15.-28\Path from Track_15 to Track_15.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\15.-28_(+-1)_NewResult_0908XYnew.csv"
1,1,1,1,1,11,/,10,TRUE,0.193344212,0.252425073,-1.634348097,0.233020129,0.766979871,FALSE,,"0.046*""""",//,3.313277598,"D:\combine0802\control\d1c1control0707 done\ch1\15.-28\Path from Track_15 to Track_15.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\15.-28_(+-1)_NewResult_0908XYnew.csv",////,1,1,2,1,1,11,/,10,TRUE,0.175892649,0.207455643,-1.886451435,0.213050926,0.786949074,FALSE,,"0.046*""""",//,3.313277598,"D:\combine0802\control\d1c1control0707 done\ch2\15.-28\Path from Track_15 to Track_15.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\15.-28_(+-1)_NewResult_0908XYnew.csv"
1,1,1,1,1,12,/,11,TRUE,0.205532409,0.221470223,-1.941955865,0.204570965,0.795429035,FALSE,,"0.046*""""",//,3.03739368,"D:\combine0802\control\d1c1control0707 done\ch1\15.-28\Path from Track_15 to Track_15.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\15.-28_(+-1)_NewResult_0908XYnew.csv",////,1,1,2,1,1,12,/,11,TRUE,0.201704847,0.195179558,-2.247768929,0.229157485,0.770842515,FALSE,,"0.046*""""",//,3.03739368,"D:\combine0802\control\d1c1control0707 done\ch2\15.-28\Path from Track_15 to Track_15.tifcroppedimages\(+-1)\newXYnew\DateObject[{2023, 9, 8}, Day]0908resultXYnew\newMethod\15.-28_(+-1)_NewResult_0908XYnew.csv"
