condition: 2 = TSA,Cell index,KT pair No.,KT no.,Img no.,,Channel 1,,Frame,,Width,Pixel width,intensity centroid to disc center x,peak to disc center x,,,KK dist,,,Channel 2,,Width,Pixel width,intensity centroid to disc center x,peak to disc center x,,,
2,1,1,1,2,,1,,1,,0.183713751,0.322,0.039296179,0.044012678,,,1.656000033,,,2,,0.181106702,0.322,0.021229768,0.021360732,,,1.656000033
2,1,1,1,3,,1,,2,,0.170069344,0.368,0.048708196,0.051221876,,,2.026089871,,,2,,0.172637547,0.322,0.023469709,0.021866168,,,2.026089871
2,1,1,1,4,,1,,3,,0.174424297,0.322,0.025660616,0.027392496,,,2.301839311,,,2,,0.184033217,0.322,0.02851909,0.025089112,,,2.301839311
2,1,1,1,5,,1,,4,,0.173239787,0.368,0.037476894,0.040718881,,,2.399066533,,,2,,0.187402088,0.322,0.019053495,0.016083726,,,2.399066533
2,1,1,1,6,,1,,5,,0.172271272,0.322,0.020189636,0.021137448,,,2.392000048,,,2,,0.17175703,0.322,0.026994754,0.029325753,,,2.392000048
2,1,1,1,7,,1,,6,,0.183988773,0.368,0.029221484,0.029569138,,,2.117999098,,,2,,0.193181466,0.322,0.031675016,0.025810204,,,2.117999098
2,1,1,1,8,,1,,7,,0.184456605,0.46,0.011512035,0.007720882,,,1.757657567,,,2,,0.20878016,0.368,0.012770609,0.00628538,,,1.757657567
2,1,1,1,9,,1,,8,,0.176527871,0.322,0.022298462,0.024023592,,,1.842298601,,,2,,0.174805002,0.322,0.040206751,0.039964398,,,1.842298601
2,1,1,1,10,,1,,9,,0.18185425,0.414,0.031085035,0.029841296,,,1.951614755,,,2,,0.179169995,0.322,0.022482104,0.014349033,,,1.951614755
2,1,1,1,11,,1,,10,,0.171479166,0.322,0.009244056,0.010025434,,,1.849177151,,,2,,0.178098113,0.322,0.023797681,0.028854945,,,1.849177151
2,1,1,1,12,,1,,11,,0.213357409,0.506,0.006453647,0.005352074,,,1.769655369,,,2,,0.22470349,0.414,0.020735253,0.019615766,,,1.769655369
2,1,1,1,13,,1,,12,,0.188704606,0.414,0.016282782,0.017383134,,,1.849177151,,,2,,0.206363823,0.368,0.021557591,0.012838828,,,1.849177151
2,1,1,1,14,,1,,13,,0.172630492,0.368,0.027307326,0.025936358,,,1.678842492,,,2,,0.188734937,0.368,0.040613267,0.039430024,,,1.678842492
2,1,1,1,15,,1,,14,,0.180863815,0.368,0.016568753,0.015552368,,,1.65855362,,,2,,0.191413382,0.322,0.03457436,0.041673328,,,1.65855362
2,1,1,1,16,,1,,15,,0.183462713,0.368,0.015831429,0.017287102,,,1.748000035,,,2,,0.188185917,0.322,0.023678721,0.021152469,,,1.748000035
2,1,1,1,17,,1,,16,,0.191489341,0.368,0.029943959,0.031505321,,,2.117999098,,,2,,0.184384289,0.368,0.014550826,0.014280609,,,2.117999098
2,1,1,1,18,,1,,17,,0.188622187,0.414,0.057148102,0.061016669,,,2.307348308,,,2,,0.1879085,0.322,0.014022482,0.013293186,,,2.307348308
2,1,1,1,19,,1,,18,,0.19797522,0.368,0.012631727,0.016680734,,,2.577642385,,,2,,0.198335345,0.368,0.024765071,0.020858963,,,2.577642385
2,1,1,1,20,,1,,19,,0.204994173,0.368,0.034701678,0.030985765,,,2.682237925,,,2,,0.207484102,0.368,0.038882488,0.036107607,,,2.682237925
2,1,1,1,21,,1,,20,,0.208718537,0.368,0.034042681,0.039999905,,,2.316500856,,,2,,0.206735283,0.368,0.015833852,0.024055096,,,2.316500856
2,1,1,1,22,,1,,21,,0.220909271,0.414,0.0305003,0.035736946,,,1.966735405,,,2,,0.205612301,0.368,0.032516633,0.042869256,,,1.966735405
2,1,1,1,23,,1,,22,,0.184541022,0.322,0.029759248,0.035244927,,,1.966735405,,,2,,0.196743102,0.368,0.019138656,0.017538849,,,1.966735405
2,1,1,1,24,,1,,23,,0.197309188,0.414,0.043198423,0.0435129,,,1.966735405,,,2,,0.200968361,0.368,0.021418771,0.019392696,,,1.966735405
2,1,1,1,25,,1,,24,,0.183288934,0.414,0.013910885,0.013817276,,,2.147761668,,,2,,0.185391628,0.322,0.00016728,0.001353653,,,2.147761668
2,1,1,1,26,,1,,25,,0.194675746,0.414,0.018589576,0.020389008,,,2.329254004,,,2,,0.212287234,0.368,0.013893191,0.016325392,,,2.329254004
2,1,1,1,27,,1,,26,,0.188418499,0.368,0.036068071,0.03870401,,,2.407870477,,,2,,0.199003587,0.368,0.053563758,0.058542155,,,2.407870477
2,1,1,1,28,,1,,27,,0.218076757,0.414,0.01422229,0.020617777,,,2.616749181,,,2,,0.207544757,0.414,0.032776508,0.037263982,,,2.616749181
2,1,1,1,29,,1,,28,,0.20504435,0.414,0.04570787,0.04622829,,,2.511111358,,,2,,0.205902586,0.368,0.042220348,0.051706174,,,2.511111358
2,1,1,1,30,,1,,29,,0.20872639,0.414,0.025954282,0.02895568,,,2.420142193,,,2,,0.200573654,0.322,0.011778075,0.011541563,,,2.420142193
2,1,1,1,31,,1,,30,,0.189384435,0.414,0.000574569,0.003016121,,,1.896628626,,,2,,0.185910965,0.322,0.030433312,0.027414436,,,1.896628626
2,1,1,1,32,,1,,31,,0.195749936,0.322,0.026958622,0.028022536,,,1.606710958,,,2,,0.198725266,0.276,0.037641941,0.036926025,,,1.606710958
2,1,1,1,33,,1,,32,,0.235185593,0.368,0.035629726,0.046046753,,,1.542201055,,,2,,0.234272617,0.322,0.025670348,0.024274236,,,1.542201055
2,1,1,1,34,,1,,33,,0.229365214,0.414,0.036154494,0.040124178,,,1.696396214,,,2,,0.197499282,0.322,0.020355273,0.014153342,,,1.696396214
2,1,1,1,35,,1,,34,,0.240195001,0.368,0.025104895,0.027247818,,,1.83308705,,,2,,0.211702169,0.368,0.034461833,0.038916925,,,1.83308705
2,1,1,1,36,,1,,35,,0.188520539,0.368,-0.006394071,-0.005212266,,,2.00931037,,,2,,0.191606819,0.368,0.021960226,0.017598611,,,2.00931037
2,1,1,1,37,,1,,36,,0.190025523,0.322,0.045259805,0.046708484,,,2.186815079,,,2,,0.190201739,0.368,0.0281826,0.034530078,,,2.186815079
2,1,1,1,38,,1,,37,,0.201548993,0.414,0.016227962,0.017966115,,,2.300000046,,,2,,0.19091406,0.368,0.021238506,0.022219807,,,2.300000046
2,1,1,1,39,,1,,38,,0.204436618,0.414,0.02131551,0.019561531,,,1.921016436,,,2,,0.202116745,0.414,0.018094144,0.026161982,,,1.921016436
2,1,1,1,40,,1,,39,,0.196811148,0.414,0.010625167,0.015303741,,,1.542201055,,,2,,0.194704021,0.23,0.006953527,0.031898315,,,1.542201055
