condition: 1 = control,Cell index,KT pair No.,KT no.,Img no.,,Channel 1,,Frame,,Width,Pixel width,intensity centroid to disc center x,peak to disc center x,,,KK dist,,,Channel 2,,Width,Pixel width,intensity centroid to disc center x,peak to disc center x,,,KK dist
1,1,1,1,2,,1,,1,,0.247879508,0.414,0.00799929,0.02097511,,,2.042731545,,,2,,0.227780137,0.414,0.029763373,0.033493467,,,2.042731545
1,1,1,1,3,,1,,2,,0.249602165,0.414,0.025192169,0.028402023,,,1.666190899,,,2,,0.241218779,0.46,0.02854657,0.039403547,,,1.666190899
1,1,1,1,4,,1,,3,,0.233574214,0.414,0.008668311,0.007012388,,,1.392212655,,,2,,0.245521162,0.414,0.025221894,0.043544283,,,1.392212655
1,1,1,1,5,,1,,4,,0.209507324,0.368,0.008260123,0.002191041,,,1.483455455,,,2,,0.204199687,0.414,0.023865336,0.028679353,,,1.483455455
1,1,1,1,6,,1,,5,,0.183567211,0.322,0.002072123,0.001542933,,,1.65855362,,,2,,0.195843271,0.368,0.029092009,0.027288665,,,1.65855362
1,1,1,1,7,,1,,6,,0.175572646,0.368,0.031762702,0.035746614,,,2.20991588,,,2,,0.173579192,0.322,0.043499275,0.040128845,,,2.20991588
1,1,1,1,8,,1,,7,,0.178302222,0.322,0.027258608,0.019025884,,,2.669585789,,,2,,0.167382583,0.276,0.005020789,0.004674835,,,2.669585789
1,1,1,1,9,,1,,8,,0.178245972,0.322,0.047538424,0.047314467,,,3.128000063,,,2,,0.168409029,0.276,0.038937041,0.039039339,,,3.128000063
1,1,1,1,10,,1,,9,,0.187416169,0.322,0.006247505,0.005259317,,,3.497210387,,,2,,0.171187078,0.322,0.014925817,0.019297241,,,3.497210387
1,1,1,1,11,,1,,10,,0.186486867,0.322,0.035900921,0.044483489,,,3.313277598,,,2,,0.168807718,0.322,0.001925997,0.009737825,,,3.313277598
1,1,1,1,12,,1,,11,,0.196403884,0.368,0.045107545,0.045246643,,,3.03739368,,,2,,0.192837999,0.368,0.013868079,0.01474881,,,3.03739368
1,1,1,1,13,,1,,12,,0.23294233,0.368,0.004074622,0.001086029,,,2.392000048,,,2,,0.217187579,0.368,0.029451776,0.044389247,,,2.392000048
1,1,1,1,14,,1,,13,,0.24328491,0.46,0.039217129,0.062624323,,,1.750419413,,,2,,0.254685503,0.46,0.038369768,0.055805682,,,1.750419413
1,1,1,1,15,,1,,14,,0.298463537,0.506,0.055443197,0.067623738,,,1.474872227,,,2,,0.288709565,0.46,0.045987868,0.0731112,,,1.474872227
1,1,1,1,16,,1,,15,,0.242250505,0.414,0.0567048,0.081963678,,,1.392212655,,,2,,0.245572351,0.46,0.042845814,0.060834907,,,1.392212655
1,1,1,1,17,,1,,16,,0.225753978,0.414,0.061481904,0.063670293,,,1.474872227,,,2,,0.231264357,0.414,0.018123976,0.035527429,,,1.474872227
1,1,1,1,18,,1,,17,,0.19341826,0.368,0.013562521,0.018787165,,,1.842298601,,,2,,0.202658455,0.368,0.036945749,0.046493381,,,1.842298601
1,1,1,1,19,,1,,18,,0.188173074,0.322,0.034682932,0.039314314,,,2.123984977,,,2,,0.18411886,0.322,0.012460071,0.012676572,,,2.123984977
1,1,1,1,20,,1,,19,,0.181595906,0.322,0.034184955,0.040062651,,,2.674337355,,,2,,0.174313152,0.276,-0.003178154,0.002155754,,,2.674337355
1,1,1,1,21,,1,,20,,0.199864187,0.368,0.029791368,0.030817163,,,3.133407154,,,2,,0.192866096,0.322,0.026505572,0.025101357,,,3.133407154
1,1,1,1,22,,1,,21,,0.203964289,0.368,0.033035866,0.042877439,,,3.31710724,,,2,,0.183751151,0.368,0.038222382,0.040788676,,,3.31710724
1,1,1,1,23,,1,,22,,0.223671599,0.414,0.040880301,0.049917719,,,3.128000063,,,2,,0.220158214,0.368,0.025094805,0.027186908,,,3.128000063
1,1,1,1,24,,1,,23,,0.250847754,0.368,0.017403165,0.024232661,,,2.945437208,,,2,,0.214324867,0.46,0.0462071,0.046705431,,,2.945437208
1,1,1,1,25,,1,,24,,0.265302774,0.506,0.084521229,0.09075191,,,2.853483542,,,2,,0.232711822,0.414,0.052358066,0.051268668,,,2.853483542
1,1,1,1,26,,1,,25,,0.20806593,0.46,0.035279529,0.041538057,,,2.766126589,,,2,,0.206667951,0.414,0.041632995,0.03651276,,,2.766126589
1,1,1,1,27,,1,,26,,0.257873416,0.414,0.019886883,0.010117733,,,2.784425311,,,2,,0.209186505,0.368,0.036750364,0.04523676,,,2.784425311
1,1,1,1,28,,1,,27,,0.209779596,0.368,0.032951407,0.035433908,,,2.79807082,,,2,,0.19720945,0.322,0.045996627,0.043934186,,,2.79807082
1,1,1,1,29,,1,,28,,0.224074344,0.414,0.03776718,0.048845647,,,2.590743574,,,2,,0.208361459,0.368,0.032692488,0.045647918,,,2.590743574
1,1,1,1,30,,1,,29,,0.216652957,0.46,0.034988344,0.047278951,,,2.301839311,,,2,,0.210420887,0.414,0.019889658,0.013953912,,,2.301839311
1,1,1,1,31,,1,,30,,0.205409539,0.414,0.044060296,0.055571982,,,1.940742165,,,2,,0.191075161,0.368,0.041627323,0.04963765,,,1.940742165
1,1,1,1,32,,1,,31,,0.199931059,0.414,0.035561649,0.037392884,,,1.842298601,,,2,,0.194481119,0.322,0.026861147,0.027510702,,,1.842298601
1,1,1,1,33,,1,,32,,0.18891515,0.368,0.035988655,0.037103786,,,1.842298601,,,2,,0.172412844,0.322,0.009970082,0.007941286,,,1.842298601
1,1,1,1,34,,1,,33,,0.195709854,0.368,0.033592964,0.041020611,,,1.750419413,,,2,,0.203979452,0.368,0.039126433,0.0444769,,,1.750419413
1,1,1,1,35,,1,,34,,0.195008261,0.322,0.01065597,0.01325618,,,1.849177151,,,2,,0.161211734,0.276,0.003767276,0.005091017,,,1.849177151
1,1,1,1,36,,1,,35,,0.196032904,0.322,0.003463138,0.002403566,,,2.032346468,,,2,,0.189789491,0.322,0.031325611,0.033742003,,,2.032346468
1,1,1,1,37,,1,,36,,0.171500968,0.276,0.021858729,0.027484145,,,2.032346468,,,2,,0.173427134,0.276,0.009358809,0.010593276,,,2.032346468
1,1,1,1,38,,1,,37,,0.185990003,0.322,-0.001455566,0.002198591,,,2.215653447,,,2,,0.179233931,0.276,0.032540429,0.033772321,,,2.215653447
1,1,1,1,39,,1,,38,,0.191097048,0.322,0.037978903,0.038907001,,,2.307348308,,,2,,0.168826853,0.322,0.004882812,0.005378296,,,2.307348308
1,1,1,1,40,,1,,39,,0.177412401,0.322,0.006818499,0.012594453,,,2.301839311,,,2,,0.169965838,0.322,0.011948722,0.01067898,,,2.301839311
1,1,1,1,41,,1,,40,,0.192377716,0.322,0.031151711,0.02786356,,,2.208000044,,,2,,0.176254662,0.322,0.003202487,0.003989284,,,2.208000044
1,1,1,1,42,,1,,41,,0.197949886,0.322,-0.006908685,-0.003306684,,,2.117999098,,,2,,0.18561241,0.368,0.000519145,0.009212901,,,2.117999098
